gu_std,year,area_band,jeonse_price,jeonse_count,sale_price,sale_count,jeonse_ratio_pct,risk_band
관악구,2021,84㎡,50000.0,975,89000.0,431,56.17977528089888,안정(<60)
양천구,2021,84㎡,55000.0,1551,98000.0,565,56.12244897959183,안정(<60)
노원구,2021,84㎡,46000.0,1628,82000.0,758,56.09756097560976,안정(<60)
영등포구,2024,59㎡,50400.0,1898,89900.0,830,56.0622914349277,안정(<60)
구로구,2023,기타,28000.0,2135,50000.0,554,56.00000000000001,안정(<60)
강서구,2021,84㎡,52000.0,2351,93000.0,873,55.91397849462365,안정(<60)
중랑구,2024,기타,27000.0,1363,48300.0,559,55.90062111801242,안정(<60)
중구,2024,84㎡,67000.0,549,120000.0,271,55.833333333333336,안정(<60)
강서구,2025,84㎡,56500.0,2794,101250.0,1462,55.80246913580247,안정(<60)
서대문구,2023,33㎡,27000.0,89,48500.0,15,55.670103092783506,안정(<60)
중랑구,2023,59㎡,31000.0,800,55700.0,209,55.65529622980251,안정(<60)
서대문구,2026,59㎡,52000.0,189,93450.0,88,55.644729802033176,안정(<60)
동대문구,2022,59㎡,45000.0,1387,80900.0,98,55.624227441285534,안정(<60)
성북구,2021,기타,47000.0,987,84500.0,555,55.62130177514793,안정(<60)
동작구,2024,84㎡,67000.0,2458,120500.0,1147,55.601659751037346,안정(<60)
구로구,2021,84㎡,45000.0,1373,81000.0,691,55.55555555555556,안정(<60)
성북구,2021,84㎡,50000.0,1787,90000.0,843,55.55555555555556,안정(<60)
관악구,2022,84㎡,50000.0,1039,90000.0,101,55.55555555555556,안정(<60)
구로구,2025,84㎡,45000.0,1621,81000.0,1177,55.55555555555556,안정(<60)
은평구,2023,59㎡,40000.0,2075,72000.0,452,55.55555555555556,안정(<60)
양천구,2026,84㎡,66000.0,194,119000.0,115,55.46218487394958,안정(<60)
서대문구,2024,33㎡,27000.0,97,48750.0,24,55.38461538461539,안정(<60)
강서구,2023,84㎡,49000.0,3242,88500.0,593,55.367231638418076,안정(<60)
영등포구,2024,84㎡,62000.0,2143,112000.0,929,55.35714285714286,안정(<60)
종로구,2023,기타,40090.0,565,72500.0,176,55.296551724137935,안정(<60)
서대문구,2022,84㎡,57750.0,1854,104500.0,131,55.26315789473685,안정(<60)
양천구,2023,84㎡,53000.0,2245,96000.0,483,55.208333333333336,안정(<60)
관악구,2023,59㎡,38000.0,1402,69000.0,327,55.072463768115945,안정(<60)
서대문구,2021,84㎡,57750.0,1432,105000.0,509,55.00000000000001,안정(<60)
은평구,2023,84㎡,47000.0,2712,85500.0,526,54.97076023391813,안정(<60)
강서구,2026,59㎡,47000.0,211,85500.0,113,54.97076023391813,안정(<60)
중구,2023,59㎡,50000.0,590,91000.0,142,54.94505494505495,안정(<60)
성북구,2022,59㎡,42000.0,2267,76500.0,180,54.90196078431373,안정(<60)
강서구,2024,84㎡,52000.0,3043,95000.0,974,54.736842105263165,안정(<60)
관악구,2026,59㎡,45000.0,123,82250.0,94,54.7112462006079,안정(<60)
구로구,2023,84㎡,41000.0,1877,75000.0,457,54.666666666666664,안정(<60)
동작구,2024,기타,60650.0,1260,111000.0,605,54.63963963963964,안정(<60)
관악구,2025,59㎡,43000.0,1478,79000.0,917,54.43037974683544,안정(<60)
도봉구,2025,기타,23125.0,1768,42500.0,907,54.41176470588235,안정(<60)
동작구,2021,84㎡,68000.0,1863,125000.0,594,54.400000000000006,안정(<60)
중구,2021,84㎡,68000.0,440,125000.0,139,54.400000000000006,안정(<60)
마포구,2022,84㎡,69000.0,2162,127000.0,131,54.330708661417326,안정(<60)
종로구,2021,59㎡,44000.0,168,81000.0,69,54.32098765432099,안정(<60)
중구,2023,84㎡,63000.0,622,116000.0,127,54.310344827586206,안정(<60)
서대문구,2023,59㎡,40000.0,1653,73800.0,473,54.20054200542005,안정(<60)
동작구,2026,기타,68250.0,150,126000.0,59,54.166666666666664,안정(<60)
동대문구,2021,59㎡,44100.0,1103,81500.0,470,54.11042944785276,안정(<60)
성북구,2026,33㎡,22417.0,3,41500.0,1,54.016867469879514,안정(<60)
관악구,2026,84㎡,55300.0,106,102500.0,99,53.951219512195124,안정(<60)
동작구,2021,기타,57700.0,1188,107000.0,589,53.925233644859816,안정(<60)
동작구,2022,84㎡,65100.0,2339,120750.0,142,53.91304347826087,안정(<60)
서대문구,2021,59㎡,45000.0,1077,83500.0,476,53.89221556886228,안정(<60)
종로구,2025,59㎡,49000.0,199,90995.0,92,53.84911258860377,안정(<60)
구로구,2025,59㎡,35000.0,1574,65000.0,1096,53.84615384615385,안정(<60)
마포구,2026,84㎡,75000.0,312,139400.0,54,53.80200860832137,안정(<60)
중구,2024,59㎡,53000.0,485,98550.0,214,53.77980720446474,안정(<60)
송파구,2022,기타,60000.0,4961,112000.0,346,53.57142857142857,안정(<60)
영등포구,2021,기타,45000.0,2228,84000.0,949,53.57142857142857,안정(<60)
중구,2024,기타,55000.0,769,103000.0,367,53.398058252427184,안정(<60)
영등포구,2021,84㎡,58000.0,1506,108750.0,496,53.333333333333336,안정(<60)
송파구,2026,33㎡,41600.0,15,78000.0,5,53.333333333333336,안정(<60)
도봉구,2024,기타,22000.0,1998,41300.0,691,53.26876513317191,안정(<60)
영등포구,2022,59㎡,47400.0,1977,89000.0,101,53.25842696629214,안정(<60)
서대문구,2022,59㎡,45000.0,1639,84500.0,104,53.25443786982249,안정(<60)
강서구,2022,84㎡,49525.0,3182,93000.0,161,53.25268817204301,안정(<60)
영등포구,2026,84㎡,65500.0,278,123000.0,114,53.2520325203252,안정(<60)
은평구,2022,59㎡,43000.0,2018,81000.0,113,53.086419753086425,안정(<60)
중구,2021,59㎡,52000.0,428,98300.0,131,52.89928789420142,안정(<60)
영등포구,2025,59㎡,50700.0,1780,96000.0,1329,52.81249999999999,안정(<60)
중랑구,2021,기타,28350.0,1203,53700.0,623,52.79329608938548,안정(<60)
동작구,2021,59㎡,50000.0,1179,94800.0,331,52.742616033755276,안정(<60)
동작구,2024,59㎡,52000.0,1676,98600.0,732,52.73833671399595,안정(<60)
성북구,2021,59㎡,40975.0,2032,77700.0,967,52.73487773487774,안정(<60)
영등포구,2022,84㎡,58000.0,2156,110000.0,119,52.72727272727272,안정(<60)
동작구,2023,84㎡,60000.0,2895,114000.0,546,52.63157894736842,안정(<60)
중구,2022,59㎡,50000.0,461,95000.0,40,52.63157894736842,안정(<60)
도봉구,2022,59㎡,28000.0,691,53250.0,50,52.58215962441315,안정(<60)
중랑구,2026,기타,27841.5,180,53000.0,81,52.531132075471696,안정(<60)
도봉구,2023,기타,21000.0,2146,40000.0,548,52.5,안정(<60)
서대문구,2025,84㎡,63000.0,1994,120000.0,1453,52.5,안정(<60)
