opratDate,destination_station,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,1,123.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,45,1,3517.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,30,4,134.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,00,1,41.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017000,명륜1가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,3,350.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,06,30,1,192.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,1,116.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,3,219.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,1,169.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,1,246.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,00,1,220.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017100,명륜2가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,2,191.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017200,명륜4가,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,1,959.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,06,45,2,133.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,07,30,1,220.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,1,56.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,2,517.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,2,89.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,09,45,1,27.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,00,1,109.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,30,5,151.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,00,1,1673.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,30,2,157.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,45,4,1126.0
20260112,광화문역,11,서울특별시,11110,종로구,1111017300,명륜3가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,1,107.0
