aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
,이안용산프리미어,2007,개인,,,"165,000",23,1,2026,중개거래,서울 용산구,110.14,10,3-3,N,,11170,개인,문배동,용산구
,리버힐삼성,2001,개인,,,"199,000",22,1,2026,중개거래,서울 용산구,114.48,10,193,N,,11170,개인,산천동,용산구
,브라운스톤,2011,개인,,,"174,000",22,1,2026,중개거래,서울 용산구,84.98,3,90,N,,11170,개인,용문동,용산구
,한성1,1974,개인,,,"51,500",19,1,2026,중개거래,서울 용산구,29.45,5,29-4,N,,11170,개인,한남동,용산구
,리버티하우스,2001,개인,,,"190,000",16,1,2026,중개거래,서울 강남구,143.15,11,258,N,,11170,개인,한남동,용산구
,월드메르디앙,1971,개인,,,"180,000",22,1,2026,중개거래,서울 용산구,84.964,5,302-53,N,26.01.30,11170,개인,이촌동,용산구
,신동아1,1992,개인,,,"400,000",9,1,2026,중개거래,서울 용산구,84.93,3,448,N,,11170,개인,보광동,용산구
,신동아,1984,개인,,,"420,000",17,1,2026,중개거래,서울 용산구,166.98,11,241-21,N,,11170,개인,서빙고동,용산구
,래미안용산더센트럴,2017,개인,,,"435,000",8,1,2026,중개거래,"서울 영등포구, 서울 용산구",135.27,38,422,N,,11170,개인,한강로2가,용산구
,신동아,1984,개인,26.02.19,O,"336,000",17,1,2026,중개거래,서울 용산구,95.66,1,241-21,N,,11170,개인,서빙고동,용산구
,신동아1,1992,개인,,,"414,000",8,1,2026,중개거래,서울 용산구,84.93,13,448,N,,11170,개인,보광동,용산구
,대림아르빌,2005,개인,,,"175,000",17,1,2026,중개거래,서울 강남구,84.64,5,808,N,,11170,개인,한남동,용산구
,대림,1994,개인,26.02.02,O,"197,000",17,1,2026,중개거래,서울 강남구,59.22,17,395,N,,11170,개인,이촌동,용산구
,현대한강,1997,개인,,,"262,000",17,1,2026,중개거래,서울 용산구,84.88,8,400,N,,11170,개인,이촌동,용산구
,한강(대우),2000,개인,,,"330,000",17,1,2026,중개거래,서울 용산구,135.27,20,415,N,,11170,개인,이촌동,용산구
,강촌,1998,개인,,,"225,000",16,1,2026,중개거래,서울 용산구,59.12,5,402,N,,11170,개인,이촌동,용산구
,용산데시앙포레,2022,개인,,,"170,000",10,1,2026,중개거래,"서울 서대문구, 서울 용산구",59.8391,7,288,N,,11170,개인,효창동,용산구
,이안용산1차(103동),2005,개인,,,"137,000",8,1,2026,중개거래,서울 용산구,84.67,5,11-29,N,,11170,개인,문배동,용산구
,센트레빌아스테리움서울,2013,개인,,,"205,000",2,1,2026,중개거래,서울 용산구,149.05,22,45,N,,11170,개인,동자동,용산구
