구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
중구,11140,202103,청계리버팰리스A,황학동,26.49,13,25000,0,,2021-03-15,2019
중구,11140,202103,우일타운,흥인동,56.43,17,40000,0,,2021-03-10,1994
중구,11140,202103,청구e편한세상,신당동,59.88,8,58800,0,갱신,2021-03-13,2011
중구,11140,202103,청계리버팰리스A,황학동,34.26,6,27300,0,,2021-03-13,2019
중구,11140,202103,약수하이츠,신당동,65.37,11,60000,0,,2021-03-08,1999
중구,11140,202103,더플레이스충정로,중림동,17.68,2,1000,70,,2021-03-09,2012
중구,11140,202103,동대문솔하임,흥인동,17.67,19,10000,45,,2021-03-15,2016
중구,11140,202103,오장동오팰리오,오장동,29.48,11,37000,0,,2021-03-09,2021
중구,11140,202103,한진해모로,신당동,59.76,2,36750,0,,2021-03-15,2001
중구,11140,202103,LIG서울역리가,만리동1가,84.9866,8,59800,0,,2021-03-13,2012
중구,11140,202103,덕수궁롯데캐슬,순화동,31.7571,4,2000,140,,2021-03-14,2016
중구,11140,202103,수산타운(2차),신당동,59.99,2,15500,0,,2021-03-12,2001
중구,11140,202103,서울역센트럴자이,만리동2가,59.94,4,40000,130,,2021-03-04,2017
중구,11140,202103,삼정아트테라스정동,정동,36.7834,2,38000,0,,2021-03-13,2020
중구,11140,202103,롯데캐슬,황학동,59.91,21,45000,0,,2021-03-12,2008
중구,11140,202103,더플레이스충정로,중림동,17.68,2,1000,70,,2021-03-03,2012
